mjd	field
59903.333333339135	COSMOS
59910.33333333995	COSMOS
59917.319444451874	COSMOS
59919.31944445211	COSMOS
59931.25000000905	COSMOS
59937.33333334309	COSMOS
59942.333333343675	COSMOS
59948.33333334437	COSMOS
59957.29166667875	COSMOS
59959.16666667897	COSMOS
59965.27777779079	COSMOS
59972.263888902715	COSMOS
59978.36111112565	COSMOS
59985.06944445976	COSMOS
59986.09722223766	COSMOS
59993.2083333496	COSMOS
59999.180555572515	COSMOS
60006.291666684454	COSMOS
60006.291666684454	COSMOS
60013.02777779635	COSMOS
60014.027777796466	COSMOS
60020.1250000194	COSMOS
60027.11111113132	COSMOS
60033.222222243145	COSMOS
60034.23611113215	COSMOS
60043.00000002206	COSMOS
60049.05555557832	COSMOS
60055.02777780124	COSMOS
60061.11111113528	COSMOS
60061.11111113528	COSMOS
60070.98611113643	COSMOS
60072.98611113666	COSMOS
60077.986111137245	COSMOS
60083.97222224905	COSMOS
60088.972222249635	COSMOS
60089.05555558298	COSMOS
60093.98611113911	COSMOS
60100.97222225103	COSMOS
60110.972222252196	COSMOS
60115.97222225278	COSMOS
60291.31944449541	COSMOS
60296.319444495995	COSMOS
60302.333333385584	COSMOS
60302.333333385584	COSMOS
60312.16666672006	COSMOS
60314.194444498076	COSMOS
60320.3055556099	COSMOS
60326.29166672171	COSMOS
60332.33333338908	COSMOS
60332.34722227797	COSMOS
60340.09722227887	COSMOS
60342.12500005688	COSMOS
60348.236111168706	COSMOS
60355.20833339174	COSMOS
60361.31944450356	COSMOS
60361.31944450356	COSMOS
60368.04166672657	COSMOS
60369.04166672668	COSMOS
60375.152777838506	COSMOS
60382.13888895043	COSMOS
60388.23611117336	COSMOS
60388.25000006225	COSMOS
60397.01388895216	COSMOS
60398.01388895228	COSMOS
60404.08333339743	COSMOS
60410.05555562035	COSMOS
60416.18055562106	COSMOS
60425.98611117776	COSMOS
60426.986111177874	COSMOS
60432.000000067346	COSMOS
60437.986111179154	COSMOS
60442.986111179736	COSMOS
60443.09722229086	COSMOS
60448.972222291544	COSMOS
60455.97222229236	COSMOS
60646.31944453674	COSMOS
60651.31944453732	COSMOS
60657.31944453802	COSMOS
60667.305555650295	COSMOS
60668.27777787263	COSMOS
60674.33333342889	COSMOS
60680.3194445407	COSMOS
60686.30555565251	COSMOS
60686.33333343029	COSMOS
60694.29166676455	COSMOS
60697.15277787599	COSMOS
60703.263888987814	COSMOS
60710.23611121085	COSMOS
60716.34722232267	COSMOS
60716.34722232267	COSMOS
60723.069444545676	COSMOS
60724.06944454579	COSMOS
60730.180555657615	COSMOS
60737.16666676954	COSMOS
60743.25000010358	COSMOS
60743.27777788136	COSMOS
60744.30555565926	COSMOS
60752.01388899349	COSMOS
60758.11111121642	COSMOS
60765.083333439456	COSMOS
60771.20833344017	COSMOS
60771.20833344017	COSMOS
60780.00000010786	COSMOS
60782.00000010809	COSMOS
60787.027777886455	COSMOS
60793.01388899826	COSMOS
60798.12500010997	COSMOS
60808.986111222344	COSMOS
60810.98611122258	COSMOS
60815.97222233427	COSMOS
60820.97222233485	COSMOS
60826.041666779885	COSMOS
60831.98611122502	COSMOS
60839.97222233706	COSMOS
61001.33333346696	COSMOS
61006.33333346754	COSMOS
61011.31944457923	COSMOS
61022.30555569162	COSMOS
61023.26388902507	COSMOS
61029.33333347022	COSMOS
61035.33333347092	COSMOS
61041.333333471615	COSMOS
61041.333333471615	COSMOS
61049.319444583656	COSMOS
61051.180555694984	COSMOS
61058.29166680692	COSMOS
61064.27777791873	COSMOS
61071.36111125289	COSMOS
61071.36111125289	COSMOS
61078.097222364784	COSMOS
61079.0972223649	COSMOS
61086.20833347684	COSMOS
61092.19444458865	COSMOS
61099.30555570059	COSMOS
