mjd	field
59902.33333333049	COSMOS
59909.33333333008	COSMOS
59916.29166666301	COSMOS
59919.29166666284	COSMOS
59930.2916666622	COSMOS
59937.33333332845	COSMOS
59943.333333328104	COSMOS
59949.333333327755	COSMOS
59957.291666660625	COSMOS
59958.20833332724	COSMOS
59965.29166666016	COSMOS
59971.249999993146	COSMOS
59978.33333332607	COSMOS
59985.20833332567	COSMOS
59986.20833332561	COSMOS
59993.2083333252	COSMOS
59999.16666665819	COSMOS
60006.29166665777	COSMOS
60006.29166665777	COSMOS
60013.16666665737	COSMOS
60015.041666657264	COSMOS
60021.12499999024	COSMOS
60027.124999989894	COSMOS
60033.20833332287	COSMOS
60041.083333322415	COSMOS
60042.99999998897	COSMOS
60049.041666655285	COSMOS
60055.041666654935	COSMOS
60060.99999998792	COSMOS
60061.124999987915	COSMOS
60066.99999998757	COSMOS
60071.99999998728	COSMOS
60077.99999998693	COSMOS
60082.99999998664	COSMOS
60089.041666652956	COSMOS
60094.99999998594	COSMOS
60101.999999985535	COSMOS
60291.291666641184	COSMOS
60297.3333333075	COSMOS
60303.33333330715	COSMOS
60305.33333330703	COSMOS
60312.29166663996	COSMOS
60319.291666639554	COSMOS
60325.291666639205	COSMOS
60332.33333330546	COSMOS
60332.33333330546	COSMOS
60339.333333305054	COSMOS
60341.16666663828	COSMOS
60347.24999997126	COSMOS
60354.20833330419	COSMOS
60360.29166663717	COSMOS
60367.16666663677	COSMOS
60369.04166663666	COSMOS
60375.1666666363	COSMOS
60382.12499996923	COSMOS
60388.24999996887	COSMOS
60396.08333330175	COSMOS
60398.04166663497	COSMOS
60404.083333301285	COSMOS
60410.04166663427	COSMOS
60416.04166663392	COSMOS
60416.12499996725	COSMOS
60423.041666633515	COSMOS
60425.999999966676	COSMOS
60431.99999996633	COSMOS
60436.999999966036	COSMOS
60443.083333299015	COSMOS
60449.99999996528	COSMOS
60455.99999996493	COSMOS
60646.29166662052	COSMOS
60651.29166662023	COSMOS
60656.29166661994	COSMOS
60659.29166661976	COSMOS
60667.2916666193	COSMOS
60674.333333285555	COSMOS
60680.333333285205	COSMOS
60687.3333332848	COSMOS
60694.291666617726	COSMOS
60695.249999951004	COSMOS
60702.249999950596	COSMOS
60708.24999995025	COSMOS
60715.33333328317	COSMOS
60715.33333328317	COSMOS
60722.20833328277	COSMOS
60724.08333328266	COSMOS
60730.16666661564	COSMOS
60737.16666661523	COSMOS
60743.24999994821	COSMOS
60750.12499994781	COSMOS
60752.12499994769	COSMOS
60758.124999947344	COSMOS
60765.08333328027	COSMOS
60771.208333279916	COSMOS
60778.04166661285	COSMOS
60780.99999994601	COSMOS
60787.04166661233	COSMOS
60791.99999994537	COSMOS
60798.124999945016	COSMOS
60804.999999944615	COSMOS
60809.999999944324	COSMOS
60814.99999994403	COSMOS
60820.999999943684	COSMOS
60825.99999994339	COSMOS
60826.04166661006	COSMOS
60831.999999943044	COSMOS
60840.99999994252	COSMOS
61000.33333326658	COSMOS
61005.33333326629	COSMOS
61010.29166659933	COSMOS
61012.291666599216	COSMOS
61022.291666598634	COSMOS
61029.33333326489	COSMOS
61035.33333326454	COSMOS
61041.33333326419	COSMOS
61042.333333264134	COSMOS
61049.29166659706	COSMOS
61056.291666596655	COSMOS
61063.29166659625	COSMOS
61070.333333262504	COSMOS
61070.333333262504	COSMOS
61077.24999992877	COSMOS
61078.208333262046	COSMOS
61085.20833326164	COSMOS
61091.20833326129	COSMOS
61098.29166659421	COSMOS
61098.29166659421	COSMOS
61105.16666659381	COSMOS
61107.0416665937	COSMOS
61113.12499992668	COSMOS
61120.12499992627	COSMOS
61126.16666659259	COSMOS
61133.08333325885	COSMOS
61134.99999992541	COSMOS
61141.04166659172	COSMOS
61148.041666591314	COSMOS
61154.124999924294	COSMOS
61160.99999992389	COSMOS
61163.99999992372	COSMOS
61169.99999992337	COSMOS
61174.99999992308	COSMOS
61181.04166658939	COSMOS
61187.99999992232	COSMOS
61194.999999921914	COSMOS
61384.29166657756	COSMOS
61390.29166657721	COSMOS
61396.33333324353	COSMOS
61397.33333324347	COSMOS
61404.2916665764	COSMOS
61411.333333242655	COSMOS
61418.291666575584	COSMOS
61425.33333324184	COSMOS
61432.249999908105	COSMOS
61433.16666657472	COSMOS
61440.24999990764	COSMOS
61447.20833324057	COSMOS
61454.33333324015	COSMOS
61454.33333324015	COSMOS
61461.16666657309	COSMOS
61468.16666657268	COSMOS
61474.16666657233	COSMOS
61481.166666571924	COSMOS
61481.24999990525	COSMOS
61488.12499990485	COSMOS
61490.04166657141	COSMOS
61496.08333323772	COSMOS
61503.083333237315	COSMOS
61509.166666570294	COSMOS
61516.041666569894	COSMOS
61517.99999990311	COSMOS
61523.999999902764	COSMOS
61529.999999902415	COSMOS
61536.083333235394	COSMOS
61542.99999990166	COSMOS
61547.99999990137	COSMOS
61552.999999901076	COSMOS
61556.99999990084	COSMOS
61561.99999990055	COSMOS
61739.2916665569	COSMOS
61744.29166655661	COSMOS
61749.29166655632	COSMOS
61749.29166655632	COSMOS
61752.29166655614	COSMOS
61760.24999988901	COSMOS
61767.33333322193	COSMOS
61773.333333221584	COSMOS
61780.33333322118	COSMOS
61780.33333322118	COSMOS
61787.291666554105	COSMOS
61793.291666553756	COSMOS
61798.2499998868	COSMOS
61804.24999988645	COSMOS
61809.33333321949	COSMOS
61809.33333321949	COSMOS
61816.083333219096	COSMOS
61823.20833321868	COSMOS
61829.16666655167	COSMOS
61836.24999988459	COSMOS
61836.29166655125	COSMOS
61843.12499988419	COSMOS
61845.041666550744	COSMOS
61852.124999883665	COSMOS
61858.08333321665	COSMOS
61865.083333216244	COSMOS
61865.083333216244	COSMOS
61871.99999988251	COSMOS
61872.99999988245	COSMOS
61879.041666548765	COSMOS
61886.04166654836	COSMOS
61892.12499988134	COSMOS
61898.999999880936	COSMOS
61901.99999988076	COSMOS
61907.99999988041	COSMOS
61912.99999988012	COSMOS
61919.041666546436	COSMOS
62096.33333320278	COSMOS
62102.333333202434	COSMOS
62104.29166653565	COSMOS
62115.29166653501	COSMOS
62122.291666534606	COSMOS
62128.33333320092	COSMOS
62134.33333320057	COSMOS
62136.333333200455	COSMOS
62143.24999986672	COSMOS
62150.291666532976	COSMOS
62156.29166653263	COSMOS
62163.33333319888	COSMOS
62170.24999986515	COSMOS
62171.208333198425	COSMOS
62178.20833319802	COSMOS
62185.20833319761	COSMOS
62192.29166653053	COSMOS
62199.04166653014	COSMOS
62206.12499986306	COSMOS
62213.12499986265	COSMOS
62220.124999862244	COSMOS
62227.08333319517	COSMOS
62227.999999861786	COSMOS
62234.083333194765	COSMOS
62241.04166652769	COSMOS
62247.16666652734	COSMOS
62253.99999986027	COSMOS
62255.999999860156	COSMOS
62261.99999985981	COSMOS
62268.9999998594	COSMOS
62274.99999985905	COSMOS
62275.08333319238	COSMOS
62280.9999998587	COSMOS
62286.99999985835	COSMOS
62291.99999985806	COSMOS
62301.99999985748	COSMOS
62301.99999985748	COSMOS
62477.29166651394	COSMOS
62483.29166651359	COSMOS
62489.33333317991	COSMOS
62489.33333317991	COSMOS
62491.33333317979	COSMOS
62498.29166651272	COSMOS
62505.333333178976	COSMOS
62511.29166651196	COSMOS
62518.33333317822	COSMOS
62525.29166651115	COSMOS
62526.249999844425	COSMOS
62533.24999984402	COSMOS
62540.24999984361	COSMOS
62547.33333317653	COSMOS
62554.20833317613	COSMOS
62555.08333317608	COSMOS
62561.16666650906	COSMOS
62568.16666650865	COSMOS
62574.24999984163	COSMOS
62574.24999984163	COSMOS
62581.12499984123	COSMOS
62583.04166650779	COSMOS
62590.08333317404	COSMOS
62596.083333173694	COSMOS
62603.04166650662	COSMOS
62602.99999983996	COSMOS
62609.99999983955	COSMOS
62610.99999983949	COSMOS
62616.99999983914	COSMOS
62623.999999838736	COSMOS
62630.083333171715	COSMOS
62635.99999983804	COSMOS
62640.999999837746	COSMOS
62645.999999837455	COSMOS
62651.999999837106	COSMOS
62656.999999836815	COSMOS
62833.333333159884	COSMOS
62840.29166649281	COSMOS
62843.29166649264	COSMOS
62854.24999982533	COSMOS
62860.33333315831	COSMOS
62866.33333315796	COSMOS
62872.333333157614	COSMOS
62872.333333157614	COSMOS
62874.3333331575	COSMOS
62881.24999982376	COSMOS
62888.29166649002	COSMOS
62894.249999823005	COSMOS
62901.333333155926	COSMOS
62908.208333155526	COSMOS
62910.12499982208	COSMOS
62916.20833315506	COSMOS
62923.16666648799	COSMOS
62929.29166648763	COSMOS
62929.29166648763	COSMOS
62936.16666648723	COSMOS
62938.04166648712	COSMOS
62944.1249998201	COSMOS
62951.124999819694	COSMOS
62957.08333315268	COSMOS
62957.16666648601	COSMOS
62964.08333315227	COSMOS
62965.99999981883	COSMOS
62972.041666485144	COSMOS
62979.041666484736	COSMOS
62985.124999817715	COSMOS
62990.99999981737	COSMOS
62994.99999981714	COSMOS
63000.99999981679	COSMOS
63005.9999998165	COSMOS
63012.041666482815	COSMOS
63020.99999981563	COSMOS
63029.9999998151	COSMOS
63215.291666470985	COSMOS
63220.33333313736	COSMOS
63226.33333313701	COSMOS
63229.333333136834	COSMOS
63236.2499998031	COSMOS
63242.29166646941	COSMOS
63249.291666469006	COSMOS
63255.33333313532	COSMOS
63256.33333313526	COSMOS
63264.24999980147	COSMOS
63270.24999980112	COSMOS
63277.20833313405	COSMOS
63283.29166646703	COSMOS
63283.29166646703	COSMOS
63285.20833313358	COSMOS
63292.04166646652	COSMOS
63299.1666664661	COSMOS
63305.12499979909	COSMOS
63312.249999798674	COSMOS
63319.08333313161	COSMOS
63321.04166646483	COSMOS
63327.083333131144	COSMOS
63333.04166646413	COSMOS
63339.166666463774	COSMOS
63346.041666463374	COSMOS
63349.99999979648	COSMOS
63355.99999979613	COSMOS
63360.99999979584	COSMOS
63366.99999979549	COSMOS
63367.083333128816	COSMOS
63373.99999979508	COSMOS
63379.99999979473	COSMOS
59858.33333333305	ECDFS
59865.249999999316	ECDFS
59867.12499999921	ECDFS
59873.291666665515	ECDFS
59880.20833333178	ECDFS
59886.33333333142	ECDFS
59894.04166666431	ECDFS
59895.08333333091	ECDFS
59902.2083333305	ECDFS
59909.12499999676	ECDFS
59916.16666666302	ECDFS
59916.16666666302	ECDFS
59923.08333332928	ECDFS
59924.083333329225	ECDFS
59931.08333332882	ECDFS
59938.124999995074	ECDFS
59945.083333328	ECDFS
59946.083333327944	ECDFS
59953.08333332754	ECDFS
59960.08333332713	ECDFS
59966.08333332678	ECDFS
59973.08333332637	ECDFS
59973.08333332637	ECDFS
59979.08333332602	ECDFS
59986.083333325616	ECDFS
59991.04166665866	ECDFS
59996.04166665837	ECDFS
60001.04166665808	ECDFS
60142.41666664985	ECDFS
60148.4166666495	ECDFS
60155.41666664909	ECDFS
60155.41666664909	ECDFS
60162.416666648685	ECDFS
60163.37499998196	ECDFS
60170.374999981555	ECDFS
60177.37499998115	ECDFS
60184.37499998074	ECDFS
60184.37499998074	ECDFS
60191.37499998033	ECDFS
60192.33333331361	ECDFS
60198.33333331326	ECDFS
60203.374999979635	ECDFS
60209.374999979285	ECDFS
60214.374999978994	ECDFS
60221.249999978594	ECDFS
60228.24999997819	ECDFS
60235.29166664444	ECDFS
60242.3333333107	ECDFS
60249.08333331031	ECDFS
60263.16666664282	ECDFS
60270.291666642406	ECDFS
60270.291666642406	ECDFS
60271.20833330902	ECDFS
60278.08333330862	ECDFS
60285.16666664154	ECDFS
60292.083333307804	ECDFS
60299.249999974054	ECDFS
60301.124999973945	ECDFS
60308.12499997354	ECDFS
60315.083333306466	ECDFS
60322.08333330606	ECDFS
60329.08333330565	ECDFS
60331.083333305534	ECDFS
60338.08333330513	ECDFS
60344.08333330478	ECDFS
60351.08333330437	ECDFS
60357.04166663736	ECDFS
60357.04166663736	ECDFS
60361.041666637124	ECDFS
60368.04166663672	ECDFS
60498.41666662913	ECDFS
60503.41666662884	ECDFS
60509.41666662849	ECDFS
60509.41666662849	ECDFS
60516.41666662808	ECDFS
60518.41666662796	ECDFS
60525.416666627556	ECDFS
60532.374999960484	ECDFS
60539.37499996008	ECDFS
60539.37499996008	ECDFS
60546.37499995967	ECDFS
60552.37499995932	ECDFS
60557.333333292365	ECDFS
60563.333333292016	ECDFS
60568.333333291725	ECDFS
60575.29166662465	ECDFS
60575.37499995798	ECDFS
60581.2916666243	ECDFS
60586.33333329068	ECDFS
60592.33333329033	ECDFS
60597.33333329004	ECDFS
60604.12499995631	ECDFS
60610.20833328929	ECDFS
60616.20833328894	ECDFS
60621.24999995531	ECDFS
60627.33333328829	ECDFS
60627.33333328829	ECDFS
60632.04166662135	ECDFS
60638.20833328766	ECDFS
60643.12499995404	ECDFS
60649.16666662035	ECDFS
60654.24999995339	ECDFS
60661.083333286326	ECDFS
60667.12499995264	ECDFS
60673.12499995229	ECDFS
60678.083333285336	ECDFS
60684.08333328499	ECDFS
60684.08333328499	ECDFS
60691.08333328458	ECDFS
60698.08333328417	ECDFS
60704.08333328382	ECDFS
60711.083333283415	ECDFS
60711.083333283415	ECDFS
60715.08333328318	ECDFS
60722.04166661611	ECDFS
60727.04166661582	ECDFS
60733.04166661547	ECDFS
60738.04166661518	ECDFS
60880.41666660689	ECDFS
60887.416666606485	ECDFS
60894.41666660608	ECDFS
60901.374999939006	ECDFS
60902.37499993895	ECDFS
60909.37499993854	ECDFS
60915.37499993819	ECDFS
60922.33333327112	ECDFS
60922.33333327112	ECDFS
60923.33333327106	ECDFS
60930.33333327065	ECDFS
60936.333333270304	ECDFS
60941.37499993668	ECDFS
60947.333333269664	ECDFS
60952.33333326937	ECDFS
60959.24999993564	ECDFS
60965.29166660195	ECDFS
60970.29166660166	ECDFS
60976.20833326798	ECDFS
60981.333333267685	ECDFS
60989.083333267234	ECDFS
60996.20833326682	ECDFS
61002.20833326647	ECDFS
61009.29166659939	ECDFS
61016.08333326566	ECDFS
61022.08333326531	ECDFS
61028.08333326496	ECDFS
61033.12499993134	ECDFS
61039.08333326432	ECDFS
61039.08333326432	ECDFS
61045.083333263974	ECDFS
61051.083333263625	ECDFS
61056.083333263334	ECDFS
61062.083333262985	ECDFS
61067.08333326269	ECDFS
61067.08333326269	ECDFS
61071.08333326246	ECDFS
61078.08333326205	ECDFS
61084.04166659504	ECDFS
61089.04166659475	ECDFS
61095.0416665944	ECDFS
61095.0416665944	ECDFS
61235.41666658623	ECDFS
61241.41666658588	ECDFS
61247.41666658553	ECDFS
61247.41666658553	ECDFS
61254.41666658512	ECDFS
61256.416666585006	ECDFS
61263.374999917934	ECDFS
61270.37499991753	ECDFS
61277.37499991712	ECDFS
61277.37499991712	ECDFS
61284.37499991671	ECDFS
61285.374999916654	ECDFS
61291.33333324964	ECDFS
61296.33333324935	ECDFS
61302.374999915664	ECDFS
61307.37499991537	ECDFS
61314.29166658164	ECDFS
61320.33333324795	ECDFS
61325.24999991433	ECDFS
61331.24999991398	ECDFS
61336.33333324702	ECDFS
61336.33333324702	ECDFS
61343.08333324663	ECDFS
61349.249999912936	ECDFS
61354.16666657932	ECDFS
61360.20833324563	ECDFS
61365.33333324533	ECDFS
61365.33333324533	ECDFS
61370.04166657839	ECDFS
61376.166666578036	ECDFS
61382.16666657769	ECDFS
61387.08333324407	ECDFS
61393.249999910375	ECDFS
61394.124999910324	ECDFS
61401.12499990992	ECDFS
61408.083333242845	ECDFS
61415.08333324244	ECDFS
61422.08333324203	ECDFS
61423.08333324197	ECDFS
61430.083333241564	ECDFS
61437.08333324116	ECDFS
61444.08333324075	ECDFS
61451.04166657368	ECDFS
61454.0416665735	ECDFS
61461.041666573095	ECDFS
61594.41666656533	ECDFS
61601.416666564925	ECDFS
61608.41666656452	ECDFS
61611.41666656434	ECDFS
61618.416666563935	ECDFS
61624.416666563586	ECDFS
61631.374999896514	ECDFS
61631.374999896514	ECDFS
61638.37499989611	ECDFS
61640.37499989599	ECDFS
61647.37499989558	ECDFS
61653.37499989523	ECDFS
61660.33333322816	ECDFS
61660.33333322816	ECDFS
61667.333333227754	ECDFS
61669.291666560974	ECDFS
61676.291666560566	ECDFS
61683.33333322682	ECDFS
61690.333333226416	ECDFS
61697.291666559344	ECDFS
61698.12499989263	ECDFS
61704.20833322561	ECDFS
61709.24999989198	ECDFS
61720.33333322467	ECDFS
61720.33333322467	ECDFS
61725.04166655773	ECDFS
61731.208333224036	ECDFS
61737.12499989036	ECDFS
61742.16666655673	ECDFS
61748.16666655638	ECDFS
61755.08333322265	ECDFS
61761.12499988896	ECDFS
61766.12499988867	ECDFS
61772.08333322166	ECDFS
61777.083333221366	ECDFS
61777.12499988803	ECDFS
61784.08333322096	ECDFS
61785.0833332209	ECDFS
61792.08333322049	ECDFS
61798.083333220144	ECDFS
61805.083333219736	ECDFS
61807.08333321962	ECDFS
61814.04166655255	ECDFS
61820.0416665522	ECDFS
61826.04166655185	ECDFS
61832.0416665515	ECDFS
61832.0416665515	ECDFS
61973.41666654327	ECDFS
61979.41666654292	ECDFS
61986.416666542515	ECDFS
61992.416666542165	ECDFS
61995.37499987533	ECDFS
62002.37499987492	ECDFS
62008.37499987457	ECDFS
62015.37499987416	ECDFS
62022.33333320709	ECDFS
62024.29166654031	ECDFS
62031.33333320657	ECDFS
62037.37499987288	ECDFS
62044.374999872474	ECDFS
62051.3333332054	ECDFS
62053.20833320529	ECDFS
62060.24999987155	ECDFS
62067.29166653781	ECDFS
62074.333333204064	ECDFS
62081.08333320367	ECDFS
62087.16666653665	ECDFS
62092.16666653636	ECDFS
62098.208333202674	ECDFS
62103.29166653571	ECDFS
62103.29166653571	ECDFS
62110.08333320198	ECDFS
62117.083333201575	ECDFS
62124.12499986783	ECDFS
62131.124999867425	ECDFS
62132.12499986737	ECDFS
62139.083333200295	ECDFS
62146.08333319989	ECDFS
62153.08333319948	ECDFS
62160.08333319907	ECDFS
62160.08333319907	ECDFS
62163.0833331989	ECDFS
62170.08333319849	ECDFS
62176.08333319814	ECDFS
62183.04166653107	ECDFS
62189.04166653072	ECDFS
62193.04166653049	ECDFS
62200.04166653008	ECDFS
62328.41666652261	ECDFS
62334.41666652226	ECDFS
62340.41666652191	ECDFS
62347.4166665215	ECDFS
62348.41666652144	ECDFS
62355.416666521036	ECDFS
62362.374999853964	ECDFS
62369.37499985356	ECDFS
62369.37499985356	ECDFS
62376.37499985315	ECDFS
62378.33333318637	ECDFS
62385.33333318596	ECDFS
62392.333333185554	ECDFS
62399.37499985181	ECDFS
62400.37499985175	ECDFS
62407.29166651802	ECDFS
62414.29166651761	ECDFS
62421.24999985054	ECDFS
62428.33333318346	ECDFS
62435.083333183065	ECDFS
62436.12499984967	ECDFS
62453.249999848675	ECDFS
62458.33333318171	ECDFS
62458.33333318171	ECDFS
62464.04166651471	ECDFS
62471.1666665143	ECDFS
62478.16666651389	ECDFS
62485.24999984681	ECDFS
62487.1249998467	ECDFS
62494.124999846295	ECDFS
62501.083333179224	ECDFS
62508.083333178816	ECDFS
62515.08333317841	ECDFS
62515.08333317841	ECDFS
62517.08333317829	ECDFS
62524.083333177885	ECDFS
62530.083333177536	ECDFS
62536.08333317719	ECDFS
62542.08333317684	ECDFS
62547.04166650988	ECDFS
62554.041666509474	ECDFS
62560.041666509125	ECDFS
62566.041666508776	ECDFS
62566.041666508776	ECDFS
62710.41666650037	ECDFS
62716.41666650002	ECDFS
62723.37499983295	ECDFS
62723.37499983295	ECDFS
62730.374999832544	ECDFS
62732.37499983243	ECDFS
62739.37499983202	ECDFS
62746.37499983161	ECDFS
62753.33333316454	ECDFS
62760.33333316413	ECDFS
62761.333333164075	ECDFS
